raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000196,raw_frames/nosferatu_raw_000196.jpg,196,00:32:30,1 frame / 10 sec,47.669,33.441,8.259,3c7c7c6c13180706,36,,review,usable_candidate,kept,,nosferatu_000196,nosferatu_000196.jpg,,
nosferatu_raw_000197,raw_frames/nosferatu_raw_000197.jpg,197,00:32:40,1 frame / 10 sec,35.002,30.775,8.142,00307e1e1c1e371c,23,,review,usable_candidate,kept,,nosferatu_000197,nosferatu_000197.jpg,,
nosferatu_raw_000199,raw_frames/nosferatu_raw_000199.jpg,199,00:33:00,1 frame / 10 sec,30.867,26.068,5.784,003e7e6f6d4e4840,19,,review,usable_candidate,kept,,nosferatu_000199,nosferatu_000199.jpg,,
nosferatu_raw_000203,raw_frames/nosferatu_raw_000203.jpg,203,00:33:40,1 frame / 10 sec,26.481,29.672,5.674,30383d3f0d1d0800,13,,review,usable_candidate,kept,,nosferatu_000203,nosferatu_000203.jpg,,
nosferatu_raw_000206,raw_frames/nosferatu_raw_000206.jpg,206,00:34:10,1 frame / 10 sec,22.123,23.317,6.047,127b7bc704003c00,5,nosferatu_raw_000205,remove,near_duplicate,kept,,nosferatu_000206,nosferatu_000206.jpg,,
nosferatu_raw_000210,raw_frames/nosferatu_raw_000210.jpg,210,00:34:50,1 frame / 10 sec,67.156,31.106,24.292,7b7f3400d0e86c3c,37,,review,usable_candidate,kept,,nosferatu_000210,nosferatu_000210.jpg,,
nosferatu_raw_000219,raw_frames/nosferatu_raw_000219.jpg,219,00:36:20,1 frame / 10 sec,38.642,34.172,7.372,001e3e7eff0e0800,13,,review,usable_candidate,kept,,nosferatu_000219,nosferatu_000219.jpg,,
nosferatu_raw_000220,raw_frames/nosferatu_raw_000220.jpg,220,00:36:30,1 frame / 10 sec,27.364,22.696,5.447,000e6f7f1a1e0038,15,,review,usable_candidate,kept,,nosferatu_000220,nosferatu_000220.jpg,,
nosferatu_raw_000222,raw_frames/nosferatu_raw_000222.jpg,222,00:36:50,1 frame / 10 sec,35.622,35.8,7.966,000a4e6fff3e0000,17,,review,usable_candidate,kept,,nosferatu_000222,nosferatu_000222.jpg,,
nosferatu_raw_000224,raw_frames/nosferatu_raw_000224.jpg,224,00:37:10,1 frame / 10 sec,28.503,25.54,2.905,0c1c0f1f3f3a1200,15,,remove,blurred,kept,,nosferatu_000224,nosferatu_000224.jpg,,
