image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000220,nosferatu_000220.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:36:30,1 frame / 10 sec,kept,
nosferatu_000222,nosferatu_000222.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:36:50,1 frame / 10 sec,kept,
nosferatu_000224,nosferatu_000224.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:37:10,1 frame / 10 sec,kept,
nosferatu_000225,nosferatu_000225.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:37:20,1 frame / 10 sec,kept,
nosferatu_000227,nosferatu_000227.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:37:40,1 frame / 10 sec,kept,
nosferatu_000229,nosferatu_000229.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:38:00,1 frame / 10 sec,kept,
nosferatu_000232,nosferatu_000232.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:38:30,1 frame / 10 sec,kept,
nosferatu_000234,nosferatu_000234.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:38:50,1 frame / 10 sec,kept,
nosferatu_000235,nosferatu_000235.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:39:00,1 frame / 10 sec,kept,
nosferatu_000237,nosferatu_000237.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:39:20,1 frame / 10 sec,kept,
nosferatu_000241,nosferatu_000241.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:40:00,1 frame / 10 sec,kept,
nosferatu_000242,nosferatu_000242.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:40:10,1 frame / 10 sec,kept,
nosferatu_000244,nosferatu_000244.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:40:30,1 frame / 10 sec,kept,
nosferatu_000246,nosferatu_000246.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:40:50,1 frame / 10 sec,kept,
nosferatu_000247,nosferatu_000247.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:41:00,1 frame / 10 sec,kept,
nosferatu_000248,nosferatu_000248.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:41:10,1 frame / 10 sec,kept,
nosferatu_000250,nosferatu_000250.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:41:30,1 frame / 10 sec,kept,
nosferatu_000255,nosferatu_000255.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:42:20,1 frame / 10 sec,kept,
nosferatu_000256,nosferatu_000256.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:42:30,1 frame / 10 sec,kept,
nosferatu_000257,nosferatu_000257.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:42:40,1 frame / 10 sec,kept,
nosferatu_000258,nosferatu_000258.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:42:50,1 frame / 10 sec,kept,
nosferatu_000259,nosferatu_000259.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:43:00,1 frame / 10 sec,kept,
